ids	clustering_labels	gold_labels	PC1	PC2
0	5	G	0.5427781343460083	-2.659611463546753
1	2	H	7.3967671394348145	-0.8846291303634644
2	4	H	1.1987981796264648	3.601052761077881
3	3	G	-1.9350435733795166	-1.0179344415664673
4	4	G	-4.083917617797852	3.4695119857788086
5	1	D	-4.706241130828857	0.4986456334590912
6	5	G	-4.846142768859863	-2.9971141815185547
7	1	G	-6.829122543334961	0.42622292041778564
8	1	H	-6.239670276641846	1.814432978630066
9	4	F	3.8792526721954346	-2.4344096183776855
10	3	A	3.1534862518310547	-4.1872100830078125
11	5	B	3.722505569458008	-6.236612796783447
12	2	H	6.997568607330322	-3.327073812484741
13	2	G	0.10580697655677795	3.6577367782592773
14	3	G	-3.154475212097168	-3.157475471496582
15	1	H	-6.535038471221924	-1.1005468368530273
16	3	G	-3.9319019317626953	0.03983840346336365
17	1	H	-9.763218879699707	0.43202194571495056
18	5	H	-3.58990740776062	-0.00931641086935997
19	4	D	1.6534851789474487	-3.9687082767486572
20	5	D	9.603086471557617	-7.425724506378174
21	3	G	-4.169007301330566	-0.7882869839668274
22	1	C	1.8391361236572266	11.348055839538574
23	2	H	7.1459550857543945	-0.5268709659576416
24	2	A	13.012374877929688	9.784412384033203
25	4	H	-3.776263952255249	1.3602957725524902
26	2	G	2.3343613147735596	0.5013000965118408
27	1	H	-10.796618461608887	1.1700084209442139
28	3	G	-7.877787113189697	-4.538222312927246
29	4	G	-5.378030776977539	2.451097249984741
30	3	D	1.145165205001831	-8.097548484802246
31	3	A	-0.17041215300559998	-6.80615758895874
32	3	A	-0.4662543833255768	-9.00520133972168
33	5	A	5.982265472412109	-1.202158808708191
34	2	B	6.1186676025390625	-1.5578702688217163
35	2	H	7.730817794799805	0.6879714131355286
36	1	G	-6.8374528884887695	1.054473876953125
37	5	G	0.12902763485908508	-2.1355955600738525
38	4	G	-3.288590431213379	2.490037679672241
39	1	F	1.713021993637085	-2.2307662963867188
40	5	B	-1.8560481071472168	-5.160607814788818
41	2	B	4.274311542510986	1.1929898262023926
42	5	E	2.765779733657837	-1.4577744007110596
43	3	A	-0.9767990708351135	-4.063299179077148
44	3	B	2.11997389793396	-9.600485801696777
45	3	A	-0.12209928780794144	-7.84037446975708
46	4	D	5.080317974090576	2.901719093322754
47	2	G	2.2847490310668945	1.493939757347107
48	4	H	1.2594741582870483	2.6046957969665527
49	3	H	2.133370876312256	-0.3858542740345001
50	3	H	3.7069711685180664	-2.3422861099243164
51	5	H	0.390493243932724	-1.0697351694107056
52	1	H	-7.77174711227417	2.963317394256592
53	4	H	-2.355074167251587	0.8417066931724548
54	3	G	1.393554925918579	0.18457655608654022
55	2	G	-1.4702502489089966	3.204991102218628
56	1	F	1.8509230613708496	-2.237434148788452
57	3	F	-1.0433870553970337	-6.201425075531006
58	5	B	3.9023735523223877	-6.377806663513184
59	5	F	2.668396234512329	-6.360877990722656
60	2	H	6.420464038848877	2.397221803665161
61	5	G	3.2495007514953613	-1.9386531114578247
62	3	H	-5.174788475036621	-2.2508432865142822
63	3	H	0.5099062919616699	-5.613040924072266
64	5	G	-1.2346245050430298	-1.2533574104309082
65	2	G	13.47572135925293	2.464529275894165
66	1	H	-9.139253616333008	0.7619538903236389
67	2	G	4.514059066772461	-0.9930535554885864
68	4	H	-5.668460845947266	4.018145561218262
69	3	G	-4.194889545440674	-1.5453157424926758
70	4	H	-5.205300331115723	2.259493350982666
71	3	H	-7.3046979904174805	-2.208266258239746
72	1	B	-5.964083671569824	-1.874346375465393
73	2	G	0.8406175374984741	4.870620250701904
74	1	G	-9.450613021850586	4.905282497406006
75	2	F	6.717838764190674	-1.2973586320877075
76	3	B	0.8242146372795105	-10.224727630615234
77	3	E	-0.3044991195201874	-7.444977283477783
78	3	G	3.007701873779297	-0.4730111062526703
