ids	clustering_labels	gold_labels	PC1	PC2
0	5	G	0.5428066253662109	-2.659531593322754
1	2	H	7.396731853485107	-0.8846561312675476
2	3	H	1.198811650276184	3.60105299949646
3	5	G	-1.935044288635254	-1.0179418325424194
4	4	G	-4.083919048309326	3.4695076942443848
5	1	D	-4.706240177154541	0.4986380636692047
6	5	G	-4.8461408615112305	-2.9970970153808594
7	1	G	-6.829125881195068	0.42621052265167236
8	2	H	-6.2396721839904785	1.8144387006759644
9	2	F	3.879251003265381	-2.4344136714935303
10	1	A	3.1534841060638428	-4.187216758728027
11	1	B	3.722504138946533	-6.236630439758301
12	2	H	6.997570514678955	-3.3270750045776367
13	3	G	0.10580848157405853	3.6577582359313965
14	2	G	-3.154473304748535	-3.157480478286743
15	2	H	-6.535038948059082	-1.1005295515060425
16	5	G	-3.931903839111328	0.03981899470090866
17	4	H	-9.76321792602539	0.4320460259914398
18	1	H	-3.589907646179199	-0.009292175062000751
19	4	D	1.6534841060638428	-3.968710422515869
20	3	D	9.6030912399292	-7.425727844238281
21	3	G	-4.169006824493408	-0.7883039712905884
22	1	C	1.8391362428665161	11.348040580749512
23	4	H	7.145956039428711	-0.5268673896789551
24	1	A	13.01237964630127	9.784384727478027
25	1	H	-3.776263475418091	1.360310435295105
26	5	G	2.334360361099243	0.5013115406036377
27	3	H	-10.796619415283203	1.1700053215026855
28	3	G	-7.8777875900268555	-4.538241386413574
29	1	G	-5.378029823303223	2.4511091709136963
30	2	D	1.145164132118225	-8.09756851196289
31	2	A	-0.17041301727294922	-6.80617618560791
32	1	A	-0.46625545620918274	-9.005219459533691
33	1	A	5.982266902923584	-1.2021645307540894
34	3	B	6.118668556213379	-1.5578840970993042
35	1	H	7.730818271636963	0.6879703998565674
36	2	G	-6.837454795837402	1.054490566253662
37	1	G	0.1290271282196045	-2.1355810165405273
38	2	G	-3.288590431213379	2.4900317192077637
39	5	F	1.7130223512649536	-2.2307772636413574
40	1	B	-1.8560467958450317	-5.160602569580078
41	3	B	4.27431058883667	1.1929967403411865
42	5	E	2.765777111053467	-1.4577804803848267
43	2	A	-0.9767996668815613	-4.06331729888916
44	1	B	2.1199755668640137	-9.600503921508789
45	1	A	-0.1220998764038086	-7.840384483337402
46	1	D	5.080319404602051	2.901704788208008
47	1	G	2.284749746322632	1.4939454793930054
48	5	H	1.2594752311706543	2.6047074794769287
49	4	H	2.1333696842193604	-0.3858617842197418
50	1	H	3.706970691680908	-2.3422932624816895
51	4	H	0.3904932737350464	-1.0697047710418701
52	1	H	-7.771746635437012	2.9633359909057617
53	1	H	-2.3550751209259033	0.8417264223098755
54	2	G	1.393555760383606	0.18455442786216736
55	5	G	-1.470249056816101	3.2049965858459473
56	4	F	1.850924015045166	-2.237452983856201
57	2	F	-1.0433874130249023	-6.201446533203125
58	1	B	3.902374505996704	-6.377812385559082
59	2	F	2.668395519256592	-6.360872745513916
