ids	clustering_labels	gold_labels	PC1	PC2
0	4	Positive	-1.4684984683990479	-4.763967514038086
1	1	Positive	-1.1296513080596924	-0.8396386504173279
2	1	Negative	2.218062400817871	1.9394606351852417
3	3	Positive	0.042671702802181244	-0.16315937042236328
4	2	Negative	-2.397183656692505	-2.008958578109741
5	5	Negative	30.61515998840332	-11.457991600036621
6	1	Positive	-0.5287736654281616	-0.12605877220630646
7	5	Negative	-1.3864868879318237	2.6618053913116455
8	2	Positive	-2.0996131896972656	-0.2686516046524048
9	2	Positive	-3.2630670070648193	-1.5576375722885132
10	3	Negative	-3.830291748046875	-1.2294102907180786
11	3	Negative	-1.8951627016067505	-2.9732210636138916
12	5	Negative	-4.4372053146362305	-5.611942291259766
13	2	Positive	-1.9733437299728394	-1.2992830276489258
14	3	Positive	-3.721064805984497	-1.7744731903076172
15	5	Negative	-0.050326623022556305	1.9661660194396973
16	5	Negative	-1.297105312347412	-0.06028711050748825
17	1	Positive	-1.3761075735092163	-1.596299648284912
18	1	Negative	5.22845458984375	18.47418975830078
19	2	Positive	1.0375208854675293	4.509450435638428
20	3	Negative	0.6360256671905518	4.154444217681885
21	4	Negative	-1.4479924440383911	-0.9436466693878174
22	2	Positive	1.86190664768219	4.295355319976807
23	4	Positive	0.3077857792377472	7.127005100250244
24	4	Positive	1.2616422176361084	4.7303643226623535
25	4	Negative	0.26346448063850403	-2.3335230350494385
26	4	Negative	-10.053799629211426	-15.426311492919922
27	1	Positive	-2.742805004119873	-1.6079250574111938
28	3	Negative	1.0785534381866455	2.657090663909912
29	5	Positive	0.5472293496131897	3.527053117752075
